"season","week","team","rating"
"2014","8","CIN",1591
"2014","8","NO",1590
"2014","8","ARI",1589
"2014","8","IND",1589
"2014","8","DAL",1588
"2014","8","KC",1587
"2014","8","PHI",1587
"2014","8","SF",1583
"2014","8","PIT",1564
"2014","8","SD",1561
"2014","8","DET",1553
"2014","8","CAR",1538
"2014","8","GB",1536
"2014","8","BAL",1529
"2014","8","MIA",1513
"2014","8","BUF",1446
"2014","8","CHI",1416
"2014","8","CLE",1401
"2014","8","NYG",1352
"2014","8","STL",1343
"2014","8","TEN",1336
"2014","8","MIN",1326
"2014","8","HOU",1308
"2014","8","NYJ",1256
"2014","8","WSH",1228
"2014","8","ATL",1224
"2014","8","TB",1183
"2014","8","OAK",1095
"2014","8","JAX",1066
"2014","9","DEN",1687
"2014","9","NE",1681
"2014","9","SEA",1638
"2014","9","ARI",1614
"2014","9","NO",1614
"2014","9","IND",1599
"2014","9","PHI",1594
"2014","9","CIN",1593
"2014","9","KC",1593
"2014","9","PIT",1591
"2014","9","SF",1577
"2014","9","DAL",1563
"2014","9","MIA",1555
"2014","9","DET",1553
"2014","9","GB",1536
"2014","9","SD",1529
"2014","9","CAR",1505
"2014","9","BAL",1496
"2014","9","BUF",1446
"2014","9","CHI",1416
"2014","9","CLE",1409
"2014","9","STL",1368
"2014","9","MIN",1336
"2014","9","TEN",1336
"2014","9","NYG",1311
"2014","9","HOU",1273
"2014","9","ATL",1224
"2014","9","NYJ",1215
"2014","9","WSH",1211
"2014","9","TB",1157
"2014","9","OAK",1065
"2014","9","JAX",1029
