"boxscore.id","game.date","game.time","game.stadium","game.city","espn.id.away","espn.id.home","team.score.away","team.score.home","attendance"
"330929016","September 29, 2013","1:00 PM ET","Wembley Stadium","London ","PIT","MIN",27,34,83518
"330929024","September 29, 2013","4:25 PM ET","Qualcomm Stadium","San Diego, CA ","DAL","SD",21,30,68601
"330929027","September 29, 2013","1:00 PM ET","Raymond James Stadium","Tampa, FL ","ARI","TB",13,10,44956
"330929030","September 29, 2013","1:00 PM ET","EverBank Field","Jacksonville, FL ","IND","JAX",37,3,59695
"330929034","September 29, 2013","1:00 PM ET","NRG Stadium","Houston, TX ","SEA","HOU",23,20,71756
"330930018","September 30, 2013","8:30 PM ET","Mercedes-Benz Superdome","New Orleans, LA ","MIA","NO",17,38,73118
"331003005","October 3, 2013","8:25 PM ET","FirstEnergy Stadium","Cleveland, OH ","BUF","CLE",24,37,71239
"331006003","October 6, 2013","1:00 PM ET","Soldier Field","Chicago, IL ","NO","CHI",26,18,62361
"331006004","October 6, 2013","1:00 PM ET","Paul Brown Stadium","Cincinnati, OH ","NE","CIN",6,13,64259
"331006006","October 6, 2013","4:25 PM ET","AT&T Stadium","Arlington, TX ","DEN","DAL",51,48,92758
"331006009","October 6, 2013","1:00 PM ET","Lambeau Field","Green Bay, WI ","DET","GB",9,22,78200
"331006010","October 6, 2013","1:00 PM ET","LP Field","Nashville, TN ","KC","TEN",26,17,69143
"331006011","October 6, 2013","1:00 PM ET","Lucas Oil Stadium","Indianapolis, IN ","SEA","IND",28,34,66608
"331006013","October 6, 2013","11:35 PM ET","O.co Coliseum","Oakland, CA ","SD","OAK",17,27,48834
"331006014","October 6, 2013","1:00 PM ET","Edward Jones Dome","Saint Louis, MO ","JAX","STL",20,34,54266
"331006015","October 6, 2013","1:00 PM ET","Sun Life Stadium","Miami, FL ","BAL","MIA",26,23,68342
"331006019","October 6, 2013","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","PHI","NYG",36,21,80738
"331006022","October 6, 2013","4:05 PM ET","U of Phoenix Stadium","Glendale, AZ ","CAR","ARI",6,22,60426
"331006025","October 6, 2013","8:30 PM ET","Candlestick Park","San Francisco, CA ","HOU","SF",3,34,69732
"331007001","October 7, 2013","8:30 PM ET","Georgia Dome","Atlanta, GA ","NYJ","ATL",30,28,70246
"331010003","October 10, 2013","8:25 PM ET","Soldier Field","Chicago, IL ","NYG","CHI",21,27,62374
"331013002","October 13, 2013","1:00 PM ET","Ralph Wilson Stadium","Buffalo, NY ","CIN","BUF",27,24,67739
"331013005","October 13, 2013","1:00 PM ET","FirstEnergy Stadium","Cleveland, OH ","DET","CLE",31,17,71513
"331013006","October 13, 2013","8:30 PM ET","AT&T Stadium","Arlington, TX ","WSH","DAL",16,31,90239
"331013007","October 13, 2013","4:05 PM ET","Sports Authority Field at Mile High","Denver, CO ","JAX","DEN",19,35,76862
"331013012","October 13, 2013","1:00 PM ET","Arrowhead Stadium","Kansas City, MO ","OAK","KC",7,24,76394
"331013016","October 13, 2013","1:00 PM ET","Mall of America Field","Minneapolis, MN ","CAR","MIN",35,10,63963
"331013017","October 13, 2013","4:25 PM ET","Gillette Stadium","Foxboro, MA ","NO","NE",27,30,68756
"331013020","October 13, 2013","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","PIT","NYJ",19,6,76957
"331013025","October 13, 2013","4:25 PM ET","Candlestick Park","San Francisco, CA ","ARI","SF",20,32,69732
"331013026","October 13, 2013","4:05 PM ET","CenturyLink Field","Seattle, WA ","TEN","SEA",13,20,68127
"331013027","October 13, 2013","1:00 PM ET","Raymond James Stadium","Tampa, FL ","PHI","TB",31,20,62505
"331013033","October 13, 2013","1:00 PM ET","M&T Bank Stadium","Baltimore, MD ","GB","BAL",19,17,71319
"331013034","October 13, 2013","1:00 PM ET","NRG Stadium","Houston, TX ","STL","HOU",38,13,71104
"331014024","October 14, 2013","8:30 PM ET","Qualcomm Stadium","San Diego, CA ","IND","SD",9,19,57954
"331017022","October 17, 2013","8:25 PM ET","U of Phoenix Stadium","Glendale, AZ ","SEA","ARI",34,22,61200
"331020001","October 20, 2013","1:00 PM ET","Georgia Dome","Atlanta, GA ","TB","ATL",23,31,69522
"331020008","October 20, 2013","1:00 PM ET","Ford Field","Detroit, MI ","CIN","DET",27,24,63207
"331020009","October 20, 2013","4:25 PM ET","Lambeau Field","Green Bay, WI ","CLE","GB",13,31,77804
"331020010","October 20, 2013","4:05 PM ET","LP Field","Nashville, TN ","SF","TEN",31,17,69143
"331020011","October 20, 2013","8:30 PM ET","Lucas Oil Stadium","Indianapolis, IN ","DEN","IND",33,39,67196
"331020012","October 20, 2013","4:25 PM ET","Arrowhead Stadium","Kansas City, MO ","HOU","KC",16,17,NA
"331020015","October 20, 2013","1:00 PM ET","Sun Life Stadium","Miami, FL ","BUF","MIA",23,21,60952
"331020020","October 20, 2013","1:00 PM ET","MetLife Stadium","East Rutherford, NJ ","NE","NYJ",27,30,76957
"331020021","October 20, 2013","1:00 PM ET","Lincoln Financial Field","Philadelphia, PA ","DAL","PHI",17,3,69144
"331020023","October 20, 2013","4:25 PM ET","Heinz Field","Pittsburgh, PA ","BAL","PIT",16,19,62295
"331020028","October 20, 2013","1:00 PM ET","FedEx Field","Landover, MD ","CHI","WSH",41,45,83147
"331020029","October 20, 2013","1:00 PM ET","Bank of America Stadium","Charlotte, NC ","STL","CAR",15,30,72686
"331020030","October 20, 2013","1:00 PM ET","EverBank Field","Jacksonville, FL ","SD","JAX",24,6,59550
"331021019","October 21, 2013","8:30 PM ET","MetLife Stadium","East Rutherford, NJ ","MIN","NYG",7,23,79314
"331024027","October 24, 2013","8:25 PM ET","Raymond James Stadium","Tampa, FL ","CAR","TB",31,13,59073
"331027004","October 27, 2013","4:05 PM ET","Paul Brown Stadium","Cincinnati, OH ","NYJ","CIN",9,49,62576
"331027007","October 27, 2013","4:25 PM ET","Sports Authority Field at Mile High","Denver, CO ","WSH","DEN",21,45,77031
"331027008","October 27, 2013","1:00 PM ET","Ford Field","Detroit, MI ","DAL","DET",30,31,64379
"331027012","October 27, 2013","1:00 PM ET","Arrowhead Stadium","Kansas City, MO ","CLE","KC",17,23,74307
"331027013","October 27, 2013","4:05 PM ET","O.co Coliseum","Oakland, CA ","PIT","OAK",18,21,NA
"331027016","October 27, 2013","8:30 PM ET","Mall of America Field","Minneapolis, MN ","GB","MIN",44,31,64134
"331027017","October 27, 2013","1:00 PM ET","Gillette Stadium","Foxboro, MA ","MIA","NE",17,27,68756
"331027018","October 27, 2013","1:00 PM ET","Mercedes-Benz Superdome","New Orleans, LA ","BUF","NO",17,35,72405
"331027021","October 27, 2013","1:00 PM ET","Lincoln Financial Field","Philadelphia, PA ","NYG","PHI",15,7,69144
"331027022","October 27, 2013","4:25 PM ET","U of Phoenix Stadium","Glendale, AZ ","ATL","ARI",13,27,60671
"331027030","October 27, 2013","1:00 PM ET","Wembley Stadium","London ","SF","JAX",42,10,83559
"331028014","October 28, 2013","8:30 PM ET","Edward Jones Dome","Saint Louis, MO ","SEA","STL",14,9,55966
"331031015","October 31, 2013","8:25 PM ET","Sun Life Stadium","Miami, FL ","CIN","MIA",20,22,52388
"331103002","November 3, 2013","1:00 PM ET","Ralph Wilson Stadium","Buffalo, NY ","KC","BUF",23,13,68159
"331103005","November 3, 2013","4:25 PM ET","FirstEnergy Stadium","Cleveland, OH ","BAL","CLE",18,24,71513
"331103006","November 3, 2013","1:00 PM ET","AT&T Stadium","Arlington, TX ","MIN","DAL",23,27,NA
"331103013","November 3, 2013","4:05 PM ET","O.co Coliseum","Oakland, CA ","PHI","OAK",49,20,51751
"331103014","November 3, 2013","1:00 PM ET","Edward Jones Dome","Saint Louis, MO ","TEN","STL",28,21,54617
